state,question_id,question_text,answer_label,pct
AK,29,almond,ah-mond (no l),8.51
AK,29,almond,i say something in between l and nothing,8.51
AK,29,almond,other,2.13
AK,30,"the ""s"" in ""anniversary""","[s] as in ""sock""",87.23
AK,30,"the ""s"" in ""anniversary""","[] as in ""shock""",12.77
AK,31,asterisk,asteri[ks],19.15
AK,31,asterisk,asteri[sk],48.94
AK,31,asterisk,asteri[k] (with no s in the final cluster),29.79
AK,31,asterisk,other,2.13
AK,32,candidate,i pronounce the first d,40.0
AK,32,candidate,i don't pronounce the first d,28.89
AK,32,candidate,i vary freely between pronouncing the first d and not doing so,2.22
AK,32,candidate,i only pronounce the first d when i'm speaking slowly/carefully,24.44
AK,32,candidate,"depends whether it refers to a political or generic candidate, as in ""that assignment looks like a good candidate for elimination"" (please state how the two pronunciations differ)",2.22
AK,32,candidate,other,2.22
AK,33,"the ""s"" in ""chromosome""",[s],34.04
AK,33,"the ""s"" in ""chromosome""",[z],46.81
AK,33,"the ""s"" in ""chromosome""",both are acceptable to me,19.15
AK,34,et cetera,pronounced e[ts]etera (4 syllables),60.87
AK,34,et cetera,pronounced e[ts]etra (3 syllables),17.39
AK,34,et cetera,pronounced eksetera (4 syllables),13.04
AK,34,et cetera,pronounced eksetra (3 syllables),6.52
AK,34,et cetera,other,2.17
AK,35,"the final consonant in ""garage""","[] as in the middle consonant of ""measure""",53.19
AK,35,"the final consonant in ""garage""","[] as in ""edge""",36.17
AK,35,"the final consonant in ""garage""",i use both interchangeably,10.64
AK,36,"the ""c"" in ""grocery""","[s] as in ""sock""",27.66
AK,36,"the ""c"" in ""grocery""","[] as in ""shock""",70.21
AK,36,"the ""c"" in ""grocery""",other,2.13
AK,37,"huge, humor, humongous, human...",i pronounce the h,97.87
AK,37,"huge, humor, humongous, human...",i can pronounce the h or not,2.13
AK,38,"the ""s"" in ""nursery""","[s] as in ""sock""",80.85
AK,38,"the ""s"" in ""nursery""","[] as in ""shock""",17.02
AK,38,"the ""s"" in ""nursery""",other,2.13
AK,39,"the ""s"" in the last name of Elvis Presley",[s],78.72
AK,39,"the ""s"" in the last name of Elvis Presley",[z],21.28
AK,40,quarter,with [kw],59.57
AK,40,quarter,"with [k] (""cor-ter"")",25.53
AK,40,quarter,i use both interchangeably,12.77
AK,40,quarter,other,2.13
AK,41,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",spicket,10.64
AK,41,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",spigot,70.21
AK,41,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",i use both interchangeably,4.26
AK,41,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?","i say ""spicket"" but spell it ""spigot""",6.38
AK,41,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",i don't use either version of this word,8.51
AK,42,strength,"the ""g"" is pronounced as [g]",41.3
AK,42,strength,"the ""g"" is pronounced as [k]",52.17
AK,42,strength,"the ""g"" is silent",6.52
AK,43,"the final consonant in ""Texas""",[s],80.43
AK,43,"the final consonant in ""Texas""",[z],15.22
AK,43,"the final consonant in ""Texas""",either one,4.35
AK,44,cream cheese,cream cheese (stress on the first syllable),58.7
AK,44,cream cheese,cream cheese (stress on the second syllable),17.39
AK,44,cream cheese,it sounds right either way,21.74
AK,44,cream cheese,other,2.17
AK,45,insurance,insurance (stress on the first syllable),17.78
AK,45,insurance,insurance (stress on the second syllable),80.0
AK,45,insurance,i can stress either the first or the second syllable,2.22
AK,46,New Haven (the city in Connecticut where Yale University is located),new haven,66.67
AK,46,New Haven (the city in Connecticut where Yale University is located),new haven,26.67
AK,46,New Haven (the city in Connecticut where Yale University is located),i use both interchangeably,6.67
AK,47,Thanksgiving,thanksgiving,22.22
AK,47,Thanksgiving,thanksgiving,68.89
AK,47,Thanksgiving,i use both interchangeably,6.67
AK,47,Thanksgiving,other,2.22
AK,48,umbrella,umbrella,15.56
AK,48,umbrella,umbrella,84.44
AK,49,I ____ her lifeless body from the pool,dragged,73.33
AK,49,I ____ her lifeless body from the pool,drug,15.56
AK,49,I ____ her lifeless body from the pool,i use both interchangeably,11.11
AK,50,What word(s) do you use to address a group of two or more people?,you all,13.33
AK,50,What word(s) do you use to address a group of two or more people?,you guys,57.78
AK,50,What word(s) do you use to address a group of two or more people?,you,15.56
AK,50,What word(s) do you use to address a group of two or more people?,other,4.44
AK,50,What word(s) do you use to address a group of two or more people?,y'all,8.89
AK,51,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",yes,43.48
AK,51,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",no,54.35
AK,51,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",other,2.17
AK,52,"Would you say ""where are you at?"" to mean ""where are you?""",yes,47.83
AK,52,"Would you say ""where are you at?"" to mean ""where are you?""",no,23.91
AK,52,"Would you say ""where are you at?"" to mean ""where are you?""","i can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"".",28.26
AK,53,"Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",no,100.0
AK,54,"He used to nap on the couch, but he sprawls out in that new lounge chair anymore","this use of ""anymore"" is acceptable",4.35
AK,54,"He used to nap on the couch, but he sprawls out in that new lounge chair anymore","this use of ""anymore"" is unacceptable",95.65
AK,55,I do exclusively figurative paintings anymore,acceptable,8.7
AK,55,I do exclusively figurative paintings anymore,unacceptable,84.78
AK,55,I do exclusively figurative paintings anymore,not sure,6.52
AK,56,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,acceptable,45.65
AK,56,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,unacceptable,50.0
AK,56,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,not sure,4.35
AK,57,Forget the nice clothes anymore (referring to babies eating messily after a certain age),acceptable,19.57
AK,57,Forget the nice clothes anymore (referring to babies eating messily after a certain age),unacceptable,71.74
AK,57,Forget the nice clothes anymore (referring to babies eating messily after a certain age),not sure,8.7
AK,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",other,4.35
AK,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",yard sale,28.26
AK,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",garage sale,58.7
AK,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",rummage sale,8.7
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",mumblety-peg,10.87
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",stretch,4.35
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",chicken,4.35
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",splits,2.17
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",mumbledy-peg,17.39
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?","i have never heard of this ""game"" and have no idea what it's called",36.96
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",other (state here if you have heard one or more of these terms but never knew what they meant),19.57
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",mumbly peg,2.17
AK,59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",mumblely peg (with 2 l's),2.17
AK,60,What do you call the area of grass between the sidewalk and the road?,berm,6.52
AK,60,What do you call the area of grass between the sidewalk and the road?,parking,2.17
AK,60,What do you call the area of grass between the sidewalk and the road?,curb strip,2.17
AK,60,What do you call the area of grass between the sidewalk and the road?,verge,4.35
AK,60,What do you call the area of grass between the sidewalk and the road?,i have no word for this,80.43
AK,60,What do you call the area of grass between the sidewalk and the road?,other,4.35
AK,61,What do you call the area of grass that occurs in the middle of some streets?,traffic island,10.87
AK,61,What do you call the area of grass that occurs in the middle of some streets?,island,34.78
AK,61,What do you call the area of grass that occurs in the middle of some streets?,i have no word for this,28.26
AK,61,What do you call the area of grass that occurs in the middle of some streets?,other,26.09
AK,62,What do you call the long narrow place in the middle of a divided highway?,median strip,13.04
AK,62,What do you call the long narrow place in the middle of a divided highway?,other,2.17
AK,62,What do you call the long narrow place in the middle of a divided highway?,median,73.91
AK,62,What do you call the long narrow place in the middle of a divided highway?,island,4.35
AK,62,What do you call the long narrow place in the middle of a divided highway?,i have no word for this,6.52
AK,63,What do you call the drink made with milk and ice cream?,milkshake/shake,100.0
AK,64,"What do you call the long sandwich that contains cold cuts, lettuce, and so on?",sub,89.13
AK,64,"What do you call the long sandwich that contains cold cuts, lettuce, and so on?",hoagie,10.87
AK,65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,lightning bug,6.52
AK,65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,firefly,54.35
AK,65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,i use lightning bug and firefly interchangeably,36.96
AK,65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,i have no word for this,2.17
AK,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,crawfish,44.44
AK,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,crayfish,17.78
AK,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,crawdad,17.78
AK,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,i have no word for this critter,15.56
AK,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,other,4.44
AK,67,What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,daddy long leg(s),97.83
AK,67,What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,daddy big legs,2.17
AK,68,What nicknames do/did you use for your maternal grandmother?,grandmother,9.09
AK,68,What nicknames do/did you use for your maternal grandmother?,granny,2.27
AK,68,What nicknames do/did you use for your maternal grandmother?,grandma,54.55
AK,68,What nicknames do/did you use for your maternal grandmother?,nana,11.36
AK,68,What nicknames do/did you use for your maternal grandmother?,grammy/grammie/grammi,4.55
AK,68,What nicknames do/did you use for your maternal grandmother?,other,18.18
AK,69,What about your paternal grandmother (is there a distinction?),grandmother,8.89
AK,69,What about your paternal grandmother (is there a distinction?),granny,4.44
AK,69,What about your paternal grandmother (is there a distinction?),grandma,48.89
AK,69,What about your paternal grandmother (is there a distinction?),gramma,17.78
AK,69,What about your paternal grandmother (is there a distinction?),nana,4.44
AK,69,What about your paternal grandmother (is there a distinction?),other,15.56
AK,70,What do/did you call your maternal grandfather?,grandpa,23.91
AK,70,What do/did you call your maternal grandfather?,grampa,8.7
AK,70,What do/did you call your maternal grandfather?,"grandad, granddad",10.87
AK,70,What do/did you call your maternal grandfather?,"i spell it ""grandpa"" but pronounce it as ""grampa""",39.13
AK,70,What do/did you call your maternal grandfather?,other (including if you use a different term to address him directly than you do when speaking about him to a third party),17.39
AK,71,paternal grandfather?,grandpa,44.19
AK,71,paternal grandfather?,grampa,34.88
AK,71,paternal grandfather?,other,20.93
AK,72,What do you call the big clumps of dust that gather under furniture and in corners?,dust bunnies,84.78
AK,72,What do you call the big clumps of dust that gather under furniture and in corners?,dust balls,15.22
AK,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",sneakers,31.11
AK,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",other,6.67
AK,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",gymshoes,4.44
AK,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",tennis shoes,57.78
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,pill bug,17.39
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,centipede,4.35
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,"i know what this creature is, but have no word for it",6.52
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,i have no idea what this creature is,23.91
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,other,2.17
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,doodle bug,4.35
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,potato bug,13.04
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,roly poly,23.91
AK,74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,sow bug,4.35
AK,75,What do you call the wheeled contraption in which you carry groceries at the supermarket?,shopping cart,80.0
AK,75,What do you call the wheeled contraption in which you carry groceries at the supermarket?,grocery cart,15.56
AK,75,What do you call the wheeled contraption in which you carry groceries at the supermarket?,other,4.44
AK,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,kitty-corner,73.91
AK,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,catty-corner,15.22
AK,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,"i can only use ""diagonal"" for this",6.52
AK,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,i have no term for this,4.35
AK,77,What do you call the activity of driving around in circles in a car?,doing donuts,54.55
AK,77,What do you call the activity of driving around in circles in a car?,doing cookies,4.55
AK,77,What do you call the activity of driving around in circles in a car?,whipping shitties,2.27
AK,77,What do you call the activity of driving around in circles in a car?,other,38.64
AK,78,What do you call paper that has already been used for something or is otherwise imperfect?,scratch paper,42.22
AK,78,What do you call paper that has already been used for something or is otherwise imperfect?,scrap paper,15.56
AK,78,What do you call paper that has already been used for something or is otherwise imperfect?,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",37.78
AK,78,What do you call paper that has already been used for something or is otherwise imperfect?,other,4.44
AK,79,What is your *general* term for a big road that you drive relatively fast on?,highway,50.0
AK,79,What is your *general* term for a big road that you drive relatively fast on?,freeway,8.7
AK,79,What is your *general* term for a big road that you drive relatively fast on?,a freeway is bigger than a highway,15.22
AK,79,What is your *general* term for a big road that you drive relatively fast on?,"a freeway has limited access (no stop lights, no intersections), whereas a highway can have stop lights and intersections",26.09
AK,80,What do you call it when rain falls while the sun is shining?,sunshower,6.82
AK,80,What do you call it when rain falls while the sun is shining?,the devil is beating his wife,6.82
AK,80,What do you call it when rain falls while the sun is shining?,liquid sun,6.82
AK,80,What do you call it when rain falls while the sun is shining?,i have no term or expression for this,72.73
AK,80,What do you call it when rain falls while the sun is shining?,other,6.82
AK,81,"When you are cold, and little points of skin begin to come on your arms and legs, you have-",goose bumps,97.83
AK,81,"When you are cold, and little points of skin begin to come on your arms and legs, you have-",goose pimples,2.17
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",eye crusties,2.22
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",sand,6.67
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",gunk,4.44
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",matter,2.22
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",i have no word for this,2.22
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",other,11.11
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",sleep,37.78
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",sleepies,6.67
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",sleepy seed,2.22
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",sleepy bugs,4.44
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",eye booger,17.78
AK,82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",eye shit,2.22
AK,83,What do you call an easy course?,gut,9.3
AK,83,What do you call an easy course?,crypt course,2.33
AK,83,What do you call an easy course?,blow-off,25.58
AK,83,What do you call an easy course?,other,62.79
AK,84,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,rotary,6.52
AK,84,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,roundabout,36.96
AK,84,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,circle,4.35
AK,84,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,traffic circle,28.26
AK,84,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,i have no word for this,21.74
AK,84,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,other,2.17
AK,85,What is the thing that women use to tie their hair?,(hair) elastic,4.65
AK,85,What is the thing that women use to tie their hair?,rubber band,23.26
AK,85,What is the thing that women use to tie their hair?,hair thing,13.95
AK,85,What is the thing that women use to tie their hair?,hair tie,18.6
AK,85,What is the thing that women use to tie their hair?,other,39.53
AK,86,Do you use the word cruller?,yes,22.22
AK,86,Do you use the word cruller?,"no, but i know what it means",46.67
AK,86,Do you use the word cruller?,i have no idea what this means,31.11
AK,87,"Do you use the term ""bear claw"" for a kind of pastry?",yes,76.09
AK,87,"Do you use the term ""bear claw"" for a kind of pastry?","no, but i know what it means",21.74
AK,87,"Do you use the term ""bear claw"" for a kind of pastry?",i have no idea what this means,2.17
AK,88,What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,duck-footed,31.11
AK,88,What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,splay-footed,6.67
AK,88,What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,bow-legged,22.22
AK,88,What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,toed out,8.89
AK,88,What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,other,4.44
AK,88,What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,i have no word for this,26.67
AK,89,"Can you call coleslaw ""slaw""?",yes,19.57
AK,89,"Can you call coleslaw ""slaw""?","yes, but i can also use it in other forms such as apple slaw or broccoli slaw",8.7
AK,89,"Can you call coleslaw ""slaw""?",no,67.39
AK,89,"Can you call coleslaw ""slaw""?",i have never heard that usage before,4.35
AK,90,What do you call the box you bury a dead person in?,coffin,73.91
AK,90,What do you call the box you bury a dead person in?,casket,6.52
AK,90,What do you call the box you bury a dead person in?,"a coffin and a casket are not the same, and i know the difference",10.87
AK,90,What do you call the box you bury a dead person in?,other,8.7
AK,91,"Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",vinegar and oil,13.33
AK,91,"Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",oil and vinegar,66.67
